,name,lat,lon,elevation_in_metres,sky_view
1,YK16-RH01,62.55316283,-114.0366457,214,1
2,YK16-RH02,62.55494461,-114.0270683,230,1
3,YK16-RH03,62.5047762,-114.2748791,195,1
4,YK16-RV03,62.5053333,-114.2767321,198,1
5,YK16-RV04,62.55326947,-114.0361681,205,1
6,YK16-SO01,62.5389486,-114.096802,176,1
7,YK16-SO02,62.53915893,-114.094389,185,1
8,YK16-SO03,62.5402336,-114.09337,186,1
9,YK16-SO04,62.54828147,-114.0598577,165,1
10,YK16-SO05,62.50592958,-114.2769108,191,1
11,YK16-SO06,62.50768173,-114.2755657,177,1
12,YK16-SO07,62.55422589,-114.0161054,210,1
13,YK16-SO08,62.55448563,-114.017753,212,1
14,YK16-SO09,62.55478016,-114.0142982,207,1
15,YK16-SO10,62.57146625,-114.0335181,200,1
16,YK16-SO11,62.57633042,-114.0541253,192,1
17,YK16-SO12,62.55536154,-114.0247106,232,1
18,YK16-SO13,62.54632913,-114.0699729,172,1
19,YK16-RV01,62.5376748,-113.875319,210,1
20,YK16-RV02,62.54051888,-113.8850664,210,1
21,YK17-SO14,62.53982,-114.09558,165,1
22,KDI-R1,63.50191395,-109.1045829,414.1,1
23,KDI-R2,63.50261145,-109.1016505,416.3,1
24,KDI-R3,63.50048466,-109.1043594,418.8,1
25,KDI-W-ShrubM1,63.50002722,-109.1130627,421.5,1
26,KDI-E-Tbot,63.48203,-109.0407855,414.7,1
27,KDI-W-Wet2,63.501436,-109.112554,420,1
28,KDI-E-Ttop,63.48413149,-109.0431168,430,1
29,KDI-E-Wet,63.48382808,-109.0371844,413.7,1
30,KDI-E-Org2,63.48459252,-109.0359206,414,1
31,KDI-E-Tslp,63.48277864,-109.0408983,417,1
32,KDI-E-ShrubM,63.48267845,-109.040148,413.4,1
33,KDI-E-Trees,63.48538533,-109.0344828,411.3,1
34,KDI-E-ShrubT,63.48706224,-109.0377668,413.8,1
35,KDI-W-Snowdrift,63.50190669,-109.1072559,413,1
36,KDI-W-Tslp,63.50019924,-109.1081167,419.5,1
37,KDI-W-Org2,63.50123723,-109.1121143,420.3,1
38,KDI-W-ShrubT,63.49921089,-109.1114331,420.6,1
39,KDI-W-Trees,63.49959144,-109.1128536,421.2,1
40,KDI-W-Tbot,63.49898789,-109.11271,421.7,1
41,KDI-W-Ttop,63.49861338,-109.1161347,434,1
42,KDI-W-Wet1,63.4973568,-109.1103509,427.4,1
43,KDI-W-Org1,63.49805195,-109.1106944,427.4,1
44,KDI-W-ShrubM2,63.50147823,-109.1149928,425.6,1
45,NGO-RC-169,64.603697,-110.2329373,440.62,1
46,NGO-DD-2018,64.713621,-110.435944,461.192,1
47,NGO-DD-2019,64.70219,-110.435617,428.249,1
48,NGO-DD-2020,64.729858,-110.402614,485.877,1
49,NGO-DD-2009,64.604064,-110.216889,445.645,1
50,NGO-DD-2011,64.702351,-110.448022,431.652,1
51,NGO-DD-2012,64.702083,-110.44587,429.864,1
52,NGO-DD-2013,64.702716,-110.44998,436.31,1
53,NGO-DD-2014,64.701261,-110.439297,433.3,1
54,NGO-DD-2015,64.703492,-110.441967,427.236,1
55,NGO-DD-2016,64.704585,-110.444145,432.811,1
56,NGO-GU-1014,64.716269,-110.441998,476.135,1
57,NGO-DD-2023,64.820763,-110.420521,475.379,1
58,NGO-DD-2026,64.724589,-110.345008,436.665,1
59,NGO-DD-2029,64.600119,-110.184629,458.214,1
60,NGO-DD-2030,64.853003,-110.469667,479.114,1
61,NGO-DD-2032,64.62932,-110.547808,441.698,1
62,NGO-DD-2033,64.605466,-110.215113,458.183,1
63,NGO-DD-2034,64.60478,-110.211786,448.241,1
64,NGO-DD-2035,64.599911,-110.234094,445.613,1
65,NGO-RC-162,64.752705,-110.44688,493.293,1
66,NGO-DD-1004,64.595094,-110.238003,470.857,1
67,NGO-DD-1012,64.713895,-110.443191,480.312,1
68,NGO-DD-2007,64.59851,-110.235434,458.033,1
69,NGO-DD-2004,64.596352,-110.236458,480.002,1
70,NGO-DD-2005,64.59662,-110.233133,471.942,1
71,NGO-DD-2006,64.596823,-110.230639,452.521,1
72,NGO-DD-1005,64.599855,-110.235641,439.609,1
73,NGO-DD-1009,64.701495,-110.443074,428.371,1
74,NGO-DD-1010,64.702792,-110.439751,426.131,1
75,NGO-DD-2008,64.600318,-110.185194,458.355,1
76,NGO-RC-163,64.72242,-110.501493,502.406,1
77,NGO-RC-164,64.722154,-110.347544,430.976,1
78,NGO-RC-165,64.721578,-110.347955,430.409,1
79,NGO-RC-166,64.634574,-110.260494,442.461,1
80,NGO-RC-167,64.634656,-110.25677,441.374,1
81,NGO-RC-168,64.641138,-110.220882,452.879,1
82,NGO-RC-170,64.59175,-110.190256,429.9009,1
83,NGO-RC-171,64.591545,-110.188084,435.1927,1
84,NGO-RC-172,64.665601,-109.67648,464,1
85,NGO-DD-1011,64.712565,-110.440969,463.34,1
86,ROCKT1,64.70025,-110.43371,472,1
87,ROCKT2,64.6996,-110.43121,464,1
88,ROCKT3,64.70136,-110.43504,459,1
